,mVE,LB,UB
aa,-140.36,-145.46,-135.37
aaa,76.11,75.04,77.13
aap,83.51,82.39,84.57
ppp,86.82,86.33,87.29
ss,-83.79,-85.97,-81.64
ssa,88.91,87.85,89.89
ssp,84.39,84.06,84.71
sss,74.07,72.92,75.17
