,mVE,LB,UB
aa,-105.3,-115.36,-95.71
aaa,61.17,57.45,64.56
aap,74.28,72.22,76.19
ppp,85.83,85.04,86.58
ss,-128.66,-135.18,-122.33
ssa,28.49,15.42,39.53
ssp,79.51,78.66,80.33
sss,73.43,71.37,75.34
