,mVE,LB,UB
aa,-151.12,-160.55,-142.03
aaa,80.34,78.81,81.76
aap,90.05,89.26,90.77
ppp,91.17,90.81,91.53
ss,-109.0,-112.89,-105.18
ssa,84.09,81.95,85.98
ssp,87.27,86.93,87.59
sss,85.91,85.09,86.68
