,mVE,LB,UB
aa,9.22,3.17,14.89
aaa,50.84,48.36,53.2
aap,66.62,65.06,68.1
ppp,57.78,56.65,58.87
ss,-0.75,-3.83,2.24
ssa,61.3,57.33,64.91
ssp,57.18,56.18,58.15
sss,53.82,52.09,55.48
